bgp,satisfiable,found,type,size,ms,gen
S_1T,true,1,T,1,0,31
S_5T,true,1,T,5,0,131
S_5P_C,true,1,P,5,1,117
S_4T,true,1,T,4,1,83
S_4P_C,true,1,P,4,4234,815696
S_4J,true,1,J,4,46,7852
S_3T,true,1,T,3,0,49
S_3P_C,true,1,P,3,0,52
S_3J,true,1,J,3,145,12597
S_2T,true,1,T,2,0,15
S_2P_R,true,1,P,2,49,1600
S_2J,true,1,J,2,0,18
N_1T,false,0,T,1,1,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,60,1957
N_2T,false,0,T,2,479,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2740,109601
N_3P_R,false,0,P,3,265,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,1
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,5
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
S_1T,true,1,T,1,1,37
S_5T,true,1,T,5,2,87
S_5P_C,true,1,P,5,1,80
S_4T,true,1,T,4,1,53
S_4P_C,true,1,P,4,4235,813588
S_4J,true,1,J,4,39,7681
S_3T,true,1,T,3,0,51
S_3P_C,true,1,P,3,0,57
S_3J,true,1,J,3,124,12720
S_2T,true,1,T,2,1,13
S_2P_R,true,1,P,2,59,1462
S_2J,true,1,J,2,1,17
N_1T,false,0,T,1,2,12
N_2J,false,0,J,2,0,0
N_2P_R,false,0,P,2,71,1957
N_2T,false,0,T,2,456,16364
N_3J,false,0,J,3,0,0
N_3P_C,false,0,P,3,2332,109601
N_3P_R,false,0,P,3,226,12330
N_3T,false,-1,T,3,-1,-1
N_4J,false,0,J,4,0,1
N_4P_C,false,-1,P,4,-1,-1
N_4T,false,-1,T,4,-1,-1
N_5J,false,0,J,5,0,9
N_5P_C,false,-1,P,5,-1,-1
N_5T,false,-1,T,5,-1,-1
S_1T,true,1,T,1,0,32
S_5T,true,1,T,5,0,132
S_5P_C,true,1,P,5,1,114
S_4T,true,1,T,4,1,81
