query,bgpx,found,varSize,size,ms,gen
query-149.rq,9,2,3,2,1,2
query-149.rq,10,2,2,1,0,2
query-149.rq,11,4,4,2,0,4
query-149.rq,12,2,2,1,1,2
query-149.rq,13,2,2,1,0,2
query-149.rq,14,2,2,1,0,2
query-149.rq,15,2,2,1,0,2
query-149.rq,16,2,2,1,0,2
query-149.rq,17,16,5,4,0,16
query-149.rq,18,2,2,1,0,2
query-149.rq,19,2,2,1,0,2
query-149.rq,20,4,3,2,0,4
query-149.rq,21,16,5,4,0,16
query-149.rq,22,2,2,1,0,2
query-149.rq,23,2,2,1,0,2
query-149.rq,24,2,2,1,0,2
query-149.rq,25,2,2,1,0,2
query-149.rq,26,2,2,1,0,2
query-149.rq,27,2,2,1,0,2
query-149.rq,28,2,2,1,0,2
query-149.rq,29,2,2,1,0,2
query-149.rq,30,2,2,1,0,2
query-149.rq,31,2,2,1,0,2
query-15.rq,1,16,5,4,1,16
query-15.rq,2,1,0,0,0,1
query-15.rq,3,2,2,1,0,2
query-150.rq,1,16,9,12,5,256
query-150.rq,2,4,5,6,1,16
query-150.rq,3,2,3,3,0,4
query-150.rq,4,2,3,3,1,4
query-151.rq,1,2,2,1,0,2
query-151.rq,2,2,2,1,0,2
query-151.rq,3,2,2,1,0,2
query-151.rq,4,4,3,2,0,4
query-151.rq,5,2,2,1,0,2
query-151.rq,6,2,2,1,1,2
query-151.rq,7,4,3,2,0,4
query-151.rq,8,2,2,2,0,4
query-151.rq,9,2,2,1,0,2
query-151.rq,10,4,3,2,0,4
query-152.rq,1,1,0,0,0,1
query-152.rq,2,5,4,2,0,12
query-153.rq,1,32,7,6,2,96
query-154.rq,1,1,0,0,0,1
query-154.rq,2,32,8,7,2,32
query-154.rq,3,64,9,8,4,64
query-154.rq,4,64,9,8,3,64
query-154.rq,5,8,4,3,0,8
query-154.rq,6,64,8,6,2,64
query-155.rq,1,4,3,2,0,4
query-155.rq,2,4,4,3,0,4
query-155.rq,3,8,6,4,0,12
query-156.rq,1,2048,16,14,227,3072
query-157.rq,1,6,3,1,1,12
query-158.rq,1,16,7,6,1,48
query-159.rq,1,6,3,1,0,12
query-16.rq,1,1,0,0,0,1
query-16.rq,2,2,2,1,0,2
query-160.rq,1,6,3,1,0,12
query-161.rq,1,4,3,2,0,4
query-161.rq,2,8,4,3,0,8
query-161.rq,3,1,1,2,0,4
query-161.rq,4,2,2,1,0,2
query-162.rq,1,2,2,1,0,2
query-163.rq,0,-1,0,0,0,0
query-164.rq,1,6,3,2,0,24
query-165.rq,1,4,3,2,0,4
query-166.rq,1,6,3,1,0,12
query-167.rq,1,6,3,1,4,12
query-168.rq,1,64,10,7,7,432
query-169.rq,0,-1,0,0,0,0
query-17.rq,1,2,2,1,0,2
query-170.rq,1,16,5,4,0,16
query-171.rq,0,-1,0,0,0,0
query-172.rq,1,512,10,10,19,512
query-172.rq,2,512,10,9,18,512
query-172.rq,3,512,10,9,19,512
query-172.rq,4,128,8,7,3,128
query-172.rq,5,4096,13,12,464,4096
query-172.rq,6,1024,11,10,60,1024
query-172.rq,7,8,4,3,0,8
query-172.rq,8,64,7,6,1,64
query-172.rq,9,32,6,5,1,32
query-172.rq,10,32,6,5,1,32
query-173.rq,1,2,2,2,0,4
query-173.rq,2,2,2,1,0,2
query-173.rq,3,4,3,2,0,4
query-174.rq,1,2,2,1,0,2
query-174.rq,2,2,2,1,0,2
query-175.rq,1,4,3,3,0,8
query-176.rq,0,-1,0,0,0,0
query-177.rq,1,4,3,2,0,4
query-178.rq,1,4,3,2,0,4
query-178.rq,2,2,2,1,1,2
query-178.rq,3,4,4,3,0,8
query-179.rq,1,1,0,0,0,1
query-179.rq,2,2,2,1,0,2
query-179.rq,3,4,3,2,0,4
query-179.rq,4,8,4,3,1,8
query-179.rq,5,8,6,4,0,12
query-179.rq,6,16,7,5,1,24
query-179.rq,7,32,8,6,1,48
query-179.rq,8,64,9,7,2,96
query-179.rq,9,128,10,8,5,192
query-179.rq,10,128,11,9,6,192
query-179.rq,11,2048,16,14,219,3072
query-18.rq,1,8,6,6,0,16
query-18.rq,2,2,3,3,0,4
query-18.rq,3,2,3,2,0,2
query-18.rq,4,2,3,2,0,2
query-18.rq,5,2,3,2,0,2
query-18.rq,6,2,3,2,0,2
query-18.rq,7,2,3,2,0,2
query-18.rq,8,2,3,2,0,2
query-180.rq,1,6,3,1,0,12
query-181.rq,1,2,3,3,1,12
query-181.rq,2,6,3,1,0,12
query-181.rq,3,4,4,2,0,6
query-182.rq,1,4,3,2,1,4
query-182.rq,2,2,2,1,0,2
query-182.rq,3,2,2,1,0,2
query-182.rq,4,2,2,1,0,2
query-182.rq,5,2,2,1,0,2
query-183.rq,1,4,3,2,0,4
query-184.rq,1,8,4,3,0,8
query-185.rq,0,-1,0,0,0,0
query-186.rq,0,-1,0,0,0,0
query-187.rq,1,6,3,2,0,24
query-188.rq,0,-1,0,0,0,0
query-189.rq,1,8,4,3,0,8
query-189.rq,2,4,3,2,1,4
query-19.rq,1,64,7,6,1,64
query-190.rq,1,512,12,11,22,512
query-191.rq,0,-1,0,0,0,0
query-192.rq,1,8,7,5,1,72
query-193.rq,1,1,5,6,0,8
query-194.rq,1,6,3,1,0,12
query-195.rq,1,6,3,1,0,12
query-196.rq,1,6,3,1,1,12
query-197.rq,1,4,5,5,0,8
query-198.rq,1,1,0,0,0,1
query-198.rq,2,6,3,1,0,12
query-199.rq,1,0,3,2,0,6
query-2.rq,1,2,2,1,0,2
query-2.rq,2,2,2,1,0,2
query-2.rq,3,2,2,1,0,2
query-2.rq,4,4,3,2,0,4
query-2.rq,5,2,2,1,0,2
query-2.rq,6,2,2,1,0,2
query-2.rq,7,8,4,3,0,8
query-2.rq,8,2,2,1,0,2
query-2.rq,9,2,2,1,0,2
query-2.rq,10,2,2,1,0,2
query-2.rq,11,4,3,2,0,4
query-20.rq,1,4,3,2,1,4
query-20.rq,2,2,2,1,0,2
query-20.rq,3,2,2,1,0,2
query-20.rq,4,2,2,1,0,2
query-20.rq,5,2,2,1,1,2
query-20.rq,6,2,2,1,0,2
query-20.rq,7,2,2,1,0,2
query-20.rq,8,2,2,1,0,2
query-20.rq,9,2,2,1,0,2
query-20.rq,10,2,2,1,0,2
query-20.rq,11,2,2,1,0,2
query-200.rq,0,-1,0,0,0,0
query-201.rq,1,4,4,5,0,48
query-201.rq,2,4,4,3,0,12
query-201.rq,3,4,4,3,0,12
