B,false,N_1T,false,0,T,1,19,12
B,false,N_2J,false,0,J,2,0,12
B,false,N_2P_R,false,0,P,2,7,36
B,false,N_2T,false,0,T,2,13,144
B,false,N_3J,false,0,J,3,0,144
B,false,N_3P_C,false,0,P,3,12,432
B,false,N_3P_R,false,0,P,3,6,144
B,false,N_3T,false,0,T,3,41,1728
B,false,N_4J,false,0,J,4,0,1728
B,false,N_4P_C,false,0,P,4,80,5184
B,false,N_4T,false,0,T,4,176,20736
B,false,N_5J,false,0,J,5,0,20736
B,false,N_5P_C,false,0,P,5,403,62208
B,false,N_5T,false,0,T,5,1707,248832
B,false,S_1T,true,1,T,1,0,12
B,false,S_2J,true,1,J,2,1,144
B,false,S_2P_R,true,1,P,2,0,36
B,false,S_2T,true,1,T,2,0,144
B,false,S_3J,true,1,J,3,0,1728
B,false,S_3P_C,true,1,P,3,1,432
B,false,S_3T,true,1,T,3,0,1728
B,false,S_4J,true,1,J,4,27,20736
B,false,S_4P_C,true,1,P,4,1,5184
B,false,S_4T,true,1,T,4,5,20736
B,false,S_5P_C,true,1,P,5,37,62208
B,false,S_5T,true,1,T,5,188,248832
B,true,S_1T,true,6,T,1,0,12
B,true,S_2J,true,36,J,2,0,144
B,true,S_2P_R,true,1,P,2,0,36
B,true,S_2T,true,36,T,2,0,144
B,true,S_3J,true,60,J,3,5,1728
B,true,S_3P_C,true,4,P,3,1,432
B,true,S_3T,true,216,T,3,8,1728
B,true,S_4J,true,300,J,4,70,20736
B,true,S_4P_C,true,8,P,4,21,5184
B,true,S_4T,true,1296,T,4,141,20736
B,true,S_5P_C,true,16,P,5,322,62208
B,true,S_5T,true,7776,T,5,1454,248832
T,false,N_1T,false,0,T,1,1,12
T,false,N_2J,false,0,J,2,0,12
T,false,N_2P_R,false,0,P,2,56,1957
T,false,N_2T,false,0,T,2,457,16364
T,false,N_3J,false,0,J,3,0,16364
T,false,N_3P_C,false,0,P,3,2415,109601
T,false,N_3P_R,false,0,P,3,235,12330
T,false,N_3T,false,-1,T,3,-1,-1
T,false,N_4J,false,0,J,4,0,163179
T,false,N_4P_C,false,-1,P,4,-1,-1
T,false,N_4T,false,-1,T,4,-1,-1
T,false,N_5J,false,0,J,5,0,509991
T,false,N_5P_C,false,-1,P,5,-1,-1
T,false,N_5T,false,-1,T,5,-1,-1
T,false,S_1T,true,1,T,1,0,27
T,false,S_2J,true,1,J,2,0,15
T,false,S_2P_R,true,1,P,2,45,1515
T,false,S_2T,true,1,T,2,0,18
T,false,S_3J,true,1,J,3,143,12686
T,false,S_3P_C,true,1,P,3,1,41
T,false,S_3T,true,1,T,3,0,42
T,false,S_4J,true,1,J,4,42,7580
T,false,S_4P_C,true,1,P,4,4518,819662
T,false,S_4T,true,1,T,4,0,60
T,false,S_5P_C,true,1,P,5,1,81
T,false,S_5T,true,1,T,5,2,94
T,true,S_1T,true,6,T,1,4,164
T,true,S_2J,true,36,J,2,541,66059
T,true,S_2P_R,true,1,P,2,28,6100
T,true,S_2T,true,36,T,2,2919,594429
T,true,S_3J,true,-1,J,3,-1,-1
T,true,S_3P_C,true,-1,P,3,-1,-1
T,true,S_3T,true,-1,T,3,-1,-1
T,true,S_4J,true,-1,J,4,-1,-1
T,true,S_4P_C,true,-1,P,4,-1,-1
T,true,S_4T,true,-1,T,4,-1,-1
T,true,S_5P_C,true,-1,P,5,-1,-1
T,true,S_5T,true,-1,T,5,-1,-1
