B,true,q11-csv-strategy1-no_slice.sparql,3,1,1,2,0,4
B,true,q11-csv-strategy1-no_slice.sparql,4,2,2,1,0,2
B,true,q12-csv-strategy1-no_slice.sparql,1,4,3,2,1,4
B,true,q12-csv-strategy1-no_slice.sparql,2,4,3,2,1,4
B,true,q12-csv-strategy1-no_slice.sparql,3,4,3,2,0,4
B,true,q12-csv-strategy1-no_slice.sparql,4,4,3,3,0,8
B,true,q13-csv-strategy1-no_slice.sparql,1,4,3,2,0,4
B,true,q13-csv-strategy1-no_slice.sparql,2,2,2,1,1,2
B,true,q13-csv-strategy1-no_slice.sparql,3,4,4,3,1,8
B,true,q14-csv-strategy1-no_slice.sparql,1,16,5,4,1,16
B,true,q14-csv-strategy1-no_slice.sparql,2,4,3,2,0,4
B,true,q14-csv-strategy1-no_slice.sparql,3,2,2,1,1,2
B,true,q14-csv-strategy1-no_slice.sparql,4,2,2,1,0,2
B,true,q15-csv-strategy1-no_slice.sparql,1,12,4,2,1,24
B,true,q16-csv-strategy1-no_slice.sparql,1,8,4,3,7,8
B,true,q16-csv-strategy1-no_slice.sparql,2,4,3,3,1,8
B,true,q17-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q17-csv-strategy1-no_slice.sparql,2,2,2,1,0,2
B,true,q17-csv-strategy1-no_slice.sparql,3,8,4,3,1,8
B,true,q17-csv-strategy1-no_slice.sparql,4,8,4,3,0,8
B,true,q18-csv-strategy1-no_slice.sparql,1,2,2,2,0,4
B,true,q18-csv-strategy1-no_slice.sparql,2,8,4,3,1,8
B,true,q18-csv-strategy1-no_slice.sparql,3,2,2,1,0,2
B,true,q18-csv-strategy1-no_slice.sparql,4,2,2,1,0,2
B,true,q18-csv-strategy1-no_slice.sparql,5,2,2,1,0,2
B,true,q2-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q2-csv-strategy1-no_slice.sparql,2,2,2,1,0,2
B,true,q2-csv-strategy1-no_slice.sparql,3,2,2,1,0,2
B,true,q2-csv-strategy1-no_slice.sparql,4,4,3,2,0,4
B,true,q3-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q3-csv-strategy1-no_slice.sparql,2,2,2,1,0,2
B,true,q3-csv-strategy1-no_slice.sparql,3,2,2,1,0,2
B,true,q3-csv-strategy1-no_slice.sparql,4,4,3,2,0,4
B,true,q3-csv-strategy1-no_slice.sparql,5,2,2,1,0,2
B,true,q4-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q4-csv-strategy1-no_slice.sparql,2,2,2,1,0,2
B,true,q4-csv-strategy1-no_slice.sparql,3,2,2,1,0,2
B,true,q4-csv-strategy1-no_slice.sparql,4,2,2,1,0,2
B,true,q4-csv-strategy1-no_slice.sparql,5,2,2,1,1,2
B,true,q4-csv-strategy1-no_slice.sparql,6,8,4,3,0,8
B,true,q4-csv-strategy1-no_slice.sparql,7,2,2,1,0,2
B,true,q5-csv-strategy1-no_slice.sparql,1,8,4,3,1,8
B,true,q6-csv-strategy1-no_slice.sparql,1,4,3,2,0,4
B,true,q7-csv-strategy1-no_slice.sparql,1,2,2,1,0,2
B,true,q7-csv-strategy1-no_slice.sparql,2,2,2,1,1,2
B,true,q7-csv-strategy1-no_slice.sparql,3,2,2,1,0,2
B,true,q7-csv-strategy1-no_slice.sparql,4,4,3,2,1,4
B,true,q7-csv-strategy1-no_slice.sparql,5,2,2,1,0,2
B,true,q7-csv-strategy1-no_slice.sparql,6,2,2,1,0,2
B,true,q7-csv-strategy1-no_slice.sparql,7,4,3,2,0,4
